Date,Name,Type
01/01/2018,New Year's Day,Restricted Holiday
14/01/2018,Pongal,Restricted Holiday
14/01/2018,Makar Sankranti,Restricted Holiday
22/01/2018,Vasant Panchami,Restricted Holiday
26/01/2018,Republic Day,Gazetted Holiday
31/01/2018,Guru Ravidas Jayanti,Restricted Holiday
10/02/2018,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
14/02/2018,Maha Shivaratri/Shivaratri,Gazetted Holiday
14/02/2018,Valentine's Day,Observance
16/02/2018,Chinese New Year,Observance
19/02/2018,Shivaji Jayanti,Restricted Holiday
01/03/2018,Holika Dahana,Restricted Holiday
02/03/2018,Holi,Restricted Holiday
18/03/2018,Chaitra Sukhladi,Restricted Holiday
20/03/2018,March Equinox,Season
25/03/2018,Rama Navami,Restricted Holiday
29/03/2018,Maundy Thursday,"Observance, Christian"
29/03/2018,Mahavir Jayanti,Gazetted Holiday
30/03/2018,Good Friday,Gazetted Holiday
31/03/2018,First day of Passover,Observance
01/04/2018,Hazarat Ali's Birthday,Restricted Holiday
01/04/2018,Easter Day,Restricted Holiday
14/04/2018,Vaisakhi,Restricted Holiday
14/04/2018,Ambedkar Jayanti,Gazetted Holiday
15/04/2018,Mesadi/Vaisakhadi,Restricted Holiday
30/04/2018,Buddha Purnima/Vesak,Gazetted Holiday
01/05/2018,May Day,Observance
09/05/2018,Birthday of Ravindranath,Restricted Holiday
13/05/2018,Mother's Day,Observance
15/06/2018,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
15/06/2018,Jamat Ul-Vida,Restricted Holiday
16/06/2018,Ramzan Id/Eid-ul-Fitar,Gazetted Holiday
17/06/2018,Father's Day,Observance
21/06/2018,June Solstice,Season
14/07/2018,Rath Yatra,Restricted Holiday
27/07/2018,Guru Purnima,Observance
05/08/2018,Friendship Day,Observance
15/08/2018,Independence Day,Gazetted Holiday
17/08/2018,Parsi New Year,Restricted Holiday
22/08/2018,Bakr Id/Eid ul-Adha,Gazetted Holiday
25/08/2018,Onam,Restricted Holiday
26/08/2018,Raksha Bandhan (Rakhi),Restricted Holiday
03/09/2018,Janmashtami,Gazetted Holiday
03/09/2018,Janmashtami (Smarta),Observance
13/09/2018,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
21/09/2018,Muharram/Ashura,Gazetted Holiday
23/09/2018,September Equinox,Season
02/10/2018,Mahatma Gandhi Jayanti,Gazetted Holiday
16/10/2018,Maha Saptami,Restricted Holiday
17/10/2018,Maha Ashtami,Restricted Holiday
18/10/2018,Maha Navami,Restricted Holiday
19/10/2018,Dussehra,Gazetted Holiday
24/10/2018,Maharishi Valmiki Jayanti,Restricted Holiday
27/10/2018,Karaka Chaturthi (Karva Chauth),Restricted Holiday
31/10/2018,Halloween,Observance
06/11/2018,Naraka Chaturdasi,Restricted Holiday
07/11/2018,Diwali/Deepavali,Gazetted Holiday
08/11/2018,Govardhan Puja,Restricted Holiday
09/11/2018,Bhai Duj,Restricted Holiday
13/11/2018,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
21/11/2018,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
23/11/2018,Guru Nanak Jayanti,Gazetted Holiday
24/11/2018,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
03/12/2018,First Day of Hanukkah,Observance
10/12/2018,Last day of Hanukkah,Observance
22/12/2018,December Solstice,Season
24/12/2018,Christmas Eve,Restricted Holiday
25/12/2018,Christmas,Gazetted Holiday
31/12/2018,New Year's Eve,Observance
01/01/2017,Last day of Hanukkah,Observance
01/01/2017,New Year's Day,Restricted Holiday
05/01/2017,Guru Govind Singh Jayanti,Restricted Holiday
14/01/2017,Pongal,Restricted Holiday
14/01/2017,Makar Sankranti,Restricted Holiday
26/01/2017,Republic Day,Gazetted Holiday
28/01/2017,Chinese New Year,Observance
01/02/2017,Vasant Panchami,Restricted Holiday
10/02/2017,Guru Ravidas Jayanti,Restricted Holiday
14/02/2017,Valentine's Day,Observance
19/02/2017,Shivaji Jayanti,Restricted Holiday
21/02/2017,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
24/02/2017,Maha Shivaratri/Shivaratri,Gazetted Holiday
12/03/2017,Holika Dahana,Restricted Holiday
13/03/2017,Holi,Restricted Holiday
20/03/2017,March Equinox,Season
28/03/2017,Chaitra Sukhladi,Restricted Holiday
04/04/2017,Rama Navami,Gazetted Holiday
09/04/2017,Mahavir Jayanti,Gazetted Holiday
11/04/2017,First day of Passover,Observance
11/04/2017,Hazarat Ali's Birthday,Restricted Holiday
13/04/2017,Maundy Thursday,"Observance, Christian"
14/04/2017,Good Friday,Gazetted Holiday
14/04/2017,Vaisakhi,Restricted Holiday
14/04/2017,Ambedkar Jayanti,Observance
15/04/2017,Mesadi/Vaisakhadi,Restricted Holiday
16/04/2017,Easter Day,Restricted Holiday
01/05/2017,May Day,Observance
09/05/2017,Birthday of Ravindranath,Restricted Holiday
10/05/2017,Buddha Purnima/Vesak,Gazetted Holiday
14/05/2017,Mother's Day,Observance
18/06/2017,Father's Day,Observance
21/06/2017,June Solstice,Season
23/06/2017,Jamat Ul-Vida,Restricted Holiday
25/06/2017,Rath Yatra,Restricted Holiday
26/06/2017,Ramzan Id/Eid-ul-Fitar,"Muslim, Common local holiday"
09/07/2017,Guru Purnima,Observance
06/08/2017,Friendship Day,Observance
07/08/2017,Raksha Bandhan (Rakhi),Restricted Holiday
15/08/2017,Independence Day,Gazetted Holiday
15/08/2017,Janmashtami,Gazetted Holiday
17/08/2017,Parsi New Year,Restricted Holiday
25/08/2017,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
02/09/2017,Bakr Id/Eid ul-Adha,Gazetted Holiday
04/09/2017,Onam,Restricted Holiday
23/09/2017,September Equinox,Season
